"delta","nu","sigma","train_accuracy","train_log_loss","train_calibration","validation_accuracy","validation_log_loss","validation_calibration","test_accuracy","test_log_loss","test_calibration"
100,3,0.2,0.554364545279754,2.34050032314289,0.820207541587831,0.565150936186473,2.22260299373408,1.01341281332708,0.567630961688819,2.02231816607717,0.956035110641602
100,5,0.05,0.635646990963276,0.646425878000895,0.901960774172895,0.610622850592281,0.676492209868507,0.99368345325754,0.592650508209539,0.690627626748748,0.9538151573655
100,5,0.1,0.591953470486445,0.862612596953119,0.880456602357671,0.587695834925487,0.861174853925581,1.00709016087896,0.58835027365129,0.836963576706734,0.962170712040924
100,5,0.15,0.565131705441261,1.42910016347211,0.843288623642291,0.568207871608712,1.3790897740205,1.00617527091328,0.571931196247068,1.26993833839648,0.955685042530483
100,5,0.2,0.556912132282253,2.36364306888159,0.825833445702378,0.564768819258693,2.25991875026252,1.01544124454557,0.566458170445661,2.05221110157975,0.956060364257619
100,7,0.05,0.635983464718323,0.646487386526218,0.90267703894801,0.611769201375621,0.676849014422055,0.994687635379396,0.592259577795152,0.690913219135007,0.954401330032074
100,7,0.1,0.592818688713709,0.864713547711123,0.881580411471551,0.586931601069927,0.864605172595592,1.00823096825087,0.587177482408131,0.8394033919334,0.962814852136211
100,7,0.15,0.567006344933667,1.43815801329625,0.844737783464828,0.567443637753152,1.39077365694307,1.00768879204265,0.574667709147772,1.27939187650667,0.95671776873666
100,7,0.2,0.564170351855412,2.2998446552439,0.836889800639304,0.561711883836454,2.24008055348046,1.01857695736596,0.566067240031274,2.02028603749656,0.953099544873753
100,9,0.05,0.636608344549125,0.646564424549718,0.90337394088772,0.611769201375621,0.677220689440653,0.995663680052379,0.593432369038311,0.691208639962956,0.954973501844147
100,9,0.1,0.593443568544511,0.866872278183888,0.88266162537337,0.586167367214368,0.868073314563526,1.00933199042745,0.588741204065676,0.841896919315869,0.963444753212132
100,9,0.15,0.56844837531244,1.44732472014049,0.846153140849647,0.568207871608712,1.40249105408731,1.00915978488895,0.574667709147772,1.28898114506938,0.957746053256593
100,9,0.2,0.557729282830225,2.46996266478587,0.826352992725736,0.560565533053114,2.3584460148249,1.02069473553654,0.56450351837373,2.13507624963798,0.95585787090774
